index,family_1,trohpic level in our work,,,kingdom,phylum,order,family,genus,species,name,,level,diet,diet1,sealifebase_level,Paraphyletic group 0,Paraphyletic group 1,Functional group 0,Functional group 1,Functional group 2,Functional group 3,size 0,size 1,feedingtype 0,feedingtype 1,feedingtype 2,feedingtype 3,feedingtype 4,feedingtype 5,feedingtype 6,feedingtype 7,feedingtype 8,size 2,size 3,size 4,size 5,size 6,size 7,size 8,size 9,size 10,size 11,size 12,size 13,size 14,size 15,size 16,size 17,size 18,size 19,size 20
691,Aristeidae,4,2,0,Animalia,Annelida,Terebellida,Cirratulidae,Caulleriella,,Caulleriella,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Trefusiidae,2,4,0,Animalia,Mollusca,Oegopsida,Ommastrephidae,Todaropsis,Todaropsis eblanae,Todaropsis eblanae,枪乌贼,4,carnivore,,3.92,,,nekton,,,,160,105,,,,,,,,,,287,,,,,,,,,,,,,,,,,,
693,Eudendriidae,3,2,0,Animalia,Annelida,Eunicida,Lumbrineridae,Abyssoninoe,Abyssoninoe hibernica,Abyssoninoe hibernica,,2,detritivore (based on Polychaeta),,3.92,,,benthos,plankton > zooplankton,,,51,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Centriscidae,4,2,0,Animalia,Mollusca,Venerida,Mactridae,Spisula,Spisula solida,Spisula solida,,2,suspension feeder (based on Mactridae),,,,,benthos,,,,50,2.0 - 200 mm,": endoparasitic,",": endoparasitic,",": endoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,,,,
695,Halcampidae,2,1,0,Chromista,Myzozoa,Dinophysiales,Dinophysaceae,Dinophysis,Dinophysis sacculus,Dinophysis sacculus,,1,,,,Algae,,plankton > microplankton,mixoplankton > plastid Specialists Non-Constitutive Mixoplankton,,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Balistidae,4,2,0,Animalia,Annelida,Sabellida,Sabellidae,,,Sabellidae,,2,detritivore (based on Polychaeta),,,,,benthos,plankton > zooplankton,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Stichasteridae,4,2,0,Animalia,Arthropoda,Onychopoda,Podonidae,Podon,Podon intermedius,Podon intermedius,,2,suspension feeder, detritivore (based on Branchiopoda),,,,plankton > zooplankton,plankton > mesoplankton,,,0.2 - 2.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Liljeborgiidae,2,5,0,Animalia,Chordata,Carcharhiniformes,Triakidae,Mustelus,Mustelus asterias,Mustelus asterias,真鲨目,5,carnivore (based on Carchariniformes),,,Pisces,,,,,,140,,": ectoparasitic,",: endoparasitic<\/small>,: endoparasitic<\/small>,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": ectoparasitic,",,,,,,,,,,,,,,,,,,,
699,Diaixidae,2,1,0,Chromista,Myzozoa,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros,Tripos macroceros,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Myliobatidae,5,2,0,Animalia,Annelida,Phyllodocida,Phyllodocidae,Eumida,Eumida bahusiensis,Eumida bahusiensis,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,20,2,,,,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
701,Pholadidae,2,2,0,Animalia,Chordata,Copelata,Fritillariidae,Fritillaria,Fritillaria borealis,Fritillaria borealis,尾海鞘纲,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Arcturidae,2,1,0,Chromista,Ochrophyta,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia stolterfothii,Rhizosolenia stolterfothii,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Glandulonodosariidae,2,2,0,Animalia,Arthropoda,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca diadema,Ampelisca diadema,,2,omnivore (based on Malacostraca),,2,,,benthos > macrobenthos,,,,10,1,": parasitic,",": ectoparasitic,",,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
704,Cyclamminidae,2,3,0,Animalia,Mollusca,Chaetodermatida,Chaetodermatidae,Chaetoderma,Chaetoderma nitidulum,Chaetoderma nitidulum,蜥蜴科,3,,,2,,,benthos,plankton > zooplankton,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Aequoreidae,3,2,0,Animalia,Bryozoa,Cheilostomatida,Electridae,Conopeum,Conopeum reticulum,Conopeum reticulum,,2,suspension feeder (based on Cheilostomata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Bellerocheaceae,1,2,0,Animalia,Arthropoda,Calanoida,Calanidae,Nannocalanus,Nannocalanus minor,Nannocalanus minor,水蚤,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Membraniporidae,2,3,0,Animalia,Arthropoda,Decapoda,Callianassidae,Callianassa,Callianassa subterranea,Callianassa subterranea,十足目,3,carnivore (based on Decapoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Codonellopsidae,2,1,0,Plantae,,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,,Chlamydomonas,,1,photoautotroph (based on Chlorophyta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Calyptrosphaeraceae,1,2,0,Animalia,Annelida,Phyllodocida,Polynoidae,Gattyana,Gattyana cirrhosa,Gattyana cirrhosa,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,50,10,": ectoparasitic,",: ectoparasitic<\/small>,": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": endoparasitic,",,,,0.5,1,2.5,5,21,2.0 - 200 mm,,,,,,,,,,,,,
710,Paralepididae,5,2,0,Chromista,Foraminifera,Rotaliida,Globigerinidae,Sphaeroidinellopsis,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis seminulina,,2,omnivore (based on Foraminifera),,,,,plankton > zooplankton,plankton > mesoplankton,,,0.2 - 2.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Neotonchidae,2,1,0,Chromista,Ochrophyta,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros septentrionalis,Chaetoceros septentrionalis,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Hyperamminidae,2,1,0,Chromista,Myzozoa,Peridiniales,Protoperidiniaceae,,,Protoperidiniaceae,,1,,,,Algae,,plankton > phytoplankton,plankton > microplankton,plankton > nanoplankton,,<0.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Eupronoidae,2,1,0,Chromista,Ochrophyta,Dictyotales,Dictyotaceae,Dictyota,Dictyota dichotoma,Dictyota dichotoma,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Chiloguembelinidae,2,1,0,Chromista,Ochrophyta,Fragilariales,Fragilariaceae,Asterionellopsis,,Asterionellopsis,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Salpidae,2,2,0,Animalia,Arthropoda,Cumacea,Diastylidae,Diastylis,Diastylis lucifera,Diastylis lucifera,,2,omnivore (based on Malacostraca),,,,,benthos,benthos > macrobenthos,,,8,2.0 - 200 mm,": ectoparasitic,",,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Canuellidae,2,2,0,Animalia,Annelida,Phyllodocida,Pholoidae,Pholoe,Pholoe minuta,Pholoe minuta,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Sciaenidae,4,1,0,Chromista,Ochrophyta,Striatellales,Striatellaceae,Grammatophora,Grammatophora marina,Grammatophora marina,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Epigonidae,4,2,0,Chromista,Foraminifera,Rotaliida,Globigerinidae,Sphaeroidinella,Sphaeroidinella dehiscens,Sphaeroidinella dehiscens,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Hymedesmiidae,2,1,0,Chromista,Ochrophyta,Cymatosirales,Cymatosiraceae,Plagiogrammopsis,,Plagiogrammopsis,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Diaphanidae,2,2,0,Animalia,Bryozoa,Cheilostomatida,Bitectiporidae,Schizomavella,,Schizomavella,,2,suspension feeder (based on Cheilostomata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Cyartonematidae,2,2,-2,Animalia,Cnidaria,Actiniaria,Edwardsiidae,Edwardsia,,Edwardsia,海葵，海葵是肉食性动物，捕食鱼、贝壳和浮游动物（如桡脚类、甲壳类动物还有微小的海洋幼虫）以及蠕虫,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Scytosiphonaceae,1,2,0,Animalia,Mollusca,Cardiida,Semelidae,Abra,,Abra,,2,deposit feeder, suspension feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Acidostomatidae,2,1,0,Plantae,,Ceramiales,Rhodomelaceae,Osmundea,Osmundea pinnatifida,Osmundea pinnatifida,,1,,,,Algae > Macroalgae,,,,,,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Longipediidae,2,2,-1,Animalia,Chordata,,Branchiostomatidae,Branchiostoma,Branchiostoma lanceolatum,Branchiostoma lanceolatum,文昌鱼,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Prolixoplectidae,2,#N/A,#N/A,Chromista,,,,,,Chromista,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Aeteidae,2,1,0,Chromista,Ochrophyta,Melosirales,Hyalodiscaceae,Podosira,Podosira stelligera,Podosira stelligera,,1,photoautotroph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Melamphaidae,3,1,0,Chromista,Ochrophyta,Thalassiosirales,Stephanodiscaceae,Cyclotella,,Cyclotella,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Pennatulidae,3,4,0,Animalia,Mollusca,Myopsida,Loliginidae,Loligo,Loligo vulgaris,Loligo vulgaris,乌贼，稚仔和幼年期阶段捕食端足类、糠虾等小型甲壳类。至成体阶段主要捕食蓝圆碜、沙丁鱼、磷虾、鹰爪虾和毛虾等，也兼捕食海鳗、狗母鱼、虾蛄、梭子蟹等,4,carnivore (based on Cephalopoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Ampithoidae,2,2,0,Animalia,Annelida,,Opheliidae,Ophelina,Ophelina acuminata,Ophelina acuminata,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,2.5,6,": endoparasitic,",,,,,,,,,51,80,2.0 - 200 mm,,,,,,,,,,,,,,,,
730,Centrophoridae,5,2,0,Animalia,Annelida,,Maldanidae,Rhodine,Rhodine gracilior,Rhodine gracilior,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Globigerinelloididae,2,1,0,Chromista,Ochrophyta,Chromulinales,Dinobryaceae,Dinobryon,Dinobryon balticum,Dinobryon balticum,,1,photoautotroph,,,Algae,,mixoplankton > Constitutive Mixoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Molidae,4,2,0,Animalia,Mollusca,Myida,Myidae,Mya,Mya truncata,Mya truncata,,2,suspension feeder (based on Myidae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Bryopsidaceae,1,2,0,Chromista,Foraminifera,Rotaliida,Globorotaliidae,Globorotalia,Globorotalia tumida,Globorotalia tumida,,2,omnivore (based on Foraminifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Bythocytheridae,2,2,0,Animalia,Bryozoa,Cheilostomatida,Chorizoporidae,Chorizopora,Chorizopora brongniartii,Chorizopora brongniartii,,2,suspension feeder (based on Cheilostomata),,,,,benthos,plankton > zooplankton,benthos > macrobenthos,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Corynidae,3,2,0,Animalia,Arthropoda,Cumacea,Leuconidae,Leucon,Leucon (Leucon) nasica,Leucon (Leucon) nasica,涟虫目,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Exochellidae,2,3,1,Animalia,Chaetognatha,Aphragmophora,Sagittidae,Parasagitta,Parasagitta setosa,Parasagitta setosa,海洋浮游生物,2,carnivore,,2.91,,,plankton > zooplankton,plankton > macroplankton,,,14,2.0 - 200 mm,predator,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Plexauridae,3,2,0,Animalia,Arthropoda,Sessilia,Archaeobalanidae,Semibalanus,Semibalanus balanoides,Semibalanus balanoides,,2,suspension feeder (based on Cirripedia),,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Pomacanthidae,3,2,0,Animalia,Arthropoda,Amphipoda,Megaluropidae,Megaluropus,Megaluropus agilis,Megaluropus agilis,,2,omnivore (based on Malacostraca),,2,,,benthos > macrobenthos,,,,5,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Squillidae,2,1,0,Chromista,Ochrophyta,Ectocarpales,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis,藻科,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Lyonsiidae,2,2,0,Chromista,Foraminifera,Rotaliida,Uvigerinidae,Uvigerina,Uvigerina peregrina,Uvigerina peregrina,,2,detritivore (based on Uvigerinidae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Rhincalanidae,2,2,0,Animalia,Sipuncula,Golfingiida,Golfingiidae,Golfingia,Golfingia (Golfingia) elongata,Golfingia (Golfingia) elongata,,2,photosymbiotic, suspension feeder (based on Montlivaltiidae),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Acanthephyridae,3,4,0,Animalia,Chordata,Perciformes,Anarhichadidae,Anarhichas,Anarhichas lupus,Anarhichas lupus,鲈形目,4,carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Peyssonneliaceae,1,4,0,Animalia,Chordata,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,Mallotus villosus,胡瓜鱼目，小鱼,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Chrysalogoniidae,2,2,0,Animalia,Mollusca,Myida,Myidae,Sphenia,Sphenia binghami,Sphenia binghami,,2,suspension feeder,,,,,benthos,,,,20,2.0 - 200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Ophiactidae,2,#N/A,#N/A,Protozoa,Sarcomastigophora,Choanoflagellida,,,,Choanoflagellida,裸藻,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Ammoniidae,2,1,0,Chromista,Ochrophyta,Triceratiales,Triceratiaceae,Odontella,Odontella mobiliensis,Odontella mobiliensis,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,18,40,,,,,,,,,,90,200,,,,,,,,,,,,,,,,,
747,Epialtidae,3,2,0,Animalia,Annelida,Terebellida,Cirratulidae,Chaetozone,,Chaetozone,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Polyceridae,2,1,0,Chromista,Ochrophyta,Triceratiales,Triceratiaceae,Odontella,Odontella regia,Odontella regia,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,45,90,,,,,,,,,,100,200,,,,,,,,,,,,,,,,,
749,Epitoniidae,3,4,0,Animalia,Chordata,Gobiiformes,Gobiidae,Awaous,Awaous commersoni,Awaous commersoni,虾虎鱼的食物非常广泛，包括甲壳类，软体类、蠕虫、海绵动物、小鱼以及其他鱼类和无脊椎动物的卵,4,carnivore,,,Pisces,,,,,,25,,": endoparasitic,",,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Nolellidae,2,1,0,Chromista,Ochrophyta,Coscinodiscales,Heliopeltaceae,Actinoptychus,,Actinoptychus,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Lycaeidae,2,2,0,Animalia,Annelida,Terebellida,Ampharetidae,Ampharete,Ampharete acutifrons,Ampharete acutifrons,,2,detritivore (based on Polychaeta),,,,,benthos > macrobenthos,,,,15,35,,,,,,,,,,80,51,2.0 - 200 mm,,,,,,,,,,,,,,,,
752,Protodriloididae,2,2,0,Animalia,Arthropoda,Isopoda,Idoteidae,Idotea,,Idotea,,2,omnivore (based on Malacostraca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Tethyidae,2,4,0,Animalia,Chordata,Salmoniformes,Salmonidae,Coregonus,Coregonus lavaretus,Coregonus lavaretus,原棘鳍类,4,carnivore (based on Salmoniformes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,Tubolaimoididae,2,5,0,Animalia,Chordata,Cetartiodactyla,Phocoenidae,Phocoena,Phocoena phocoena,Phocoena phocoena,,5,piscivore (based on Phocoenidae),,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Raspailiidae,2,1,0,Chromista,Myzozoa,Amphidiniales,Amphidiniaceae,Amphidinium,Amphidinium sphenoides,Amphidinium sphenoides,,1,,,4.5,Algae,,plankton > microplankton,plankton > zooplankton,,,12,15,,,,,,,,,,35,60,<0.2 mm,,,,,,,,,,,,,,,,
756,Asterinidae,2,2,0,Animalia,Annelida,Phyllodocida,Nereididae,Platynereis,Platynereis dumerilii,Platynereis dumerilii,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Platytroctidae,3,2,0,Animalia,Arthropoda,Calanoida,Calanidae,Calanus,Calanus euxinus,Calanus euxinus,水蚤,2,,,,,,plankton > zooplankton,plankton > macroplankton,,,3.5,3.7,: ectoparasitic<\/small>,,,,,,,,,2.0 - 200 mm,3.1,3.2,3.4,3.8,,,,,,,,,,,,,,
758,Canthocamptidae,2,2,0,Animalia,Annelida,Spionida,Spionidae,Spio,,Spio,,2,detritivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Pontocyprididae,2,5,0,Animalia,Mollusca,Octopoda,Eledonidae,Eledone,Eledone cirrhosa,Eledone cirrhosa,章鱼,5,carnivore (based on Cephalopoda),,3.7,,,benthos,,,,500,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Carapidae,3,2,-1,Animalia,Mollusca,,Lymnaeidae,Ampullaceana,Ampullaceana balthica,Ampullaceana balthica,螺,3,,,3.7,,,benthos > macrobenthos,,,,2.0 - 200 mm,,grazer > on periphyton,detritus feeder,": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",": endoparasitic,",,,,,,,,,,,,,,,,,,,
761,Portunidae,4,3,0,Animalia,Arthropoda,Decapoda,Upogebiidae,Upogebia,Upogebia deltaura,Upogebia deltaura,十足目,3,carnivore (based on Decapoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Beroidae,3,2,0,Animalia,Annelida,Terebellida,Terebellidae,Thelepus,Thelepus cincinnatus,Thelepus cincinnatus,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Carcharhinidae,5,2,0,Chromista,Foraminifera,Rotaliida,Globigerinidae,Globigerinella,Globigerinella obesa,Globigerinella obesa,,2,omnivore (based on Foraminifera),,,,,plankton > zooplankton,plankton > mesoplankton,,,0.2 - 2.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Tanaissuidae,2,1,0,Chromista,Ochrophyta,Thalassionematales,Thalassionemataceae,,,Thalassionemataceae,,1,photoautotroph,,,Algae,,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Adercotrymidae,2,1,0,Chromista,Myzozoa,Gonyaulacales,Ceratiaceae,Tripos,,Tripos,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Spiroloculinidae,2,2,0,Animalia,Annelida,,Paraonidae,Aricidea,Aricidea (Aricidea) minuta,Aricidea (Aricidea) minuta,蠕虫,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Zygnemataceae,1,1,0,Chromista,Ochrophyta,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus,Chaetoceros tenuissimus,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Monoposthiidae,2,1,0,Chromista,Myzozoa,Peridiniales,Oxytoxaceae,Oxytoxum,,Oxytoxum,囊泡藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Luciferidae,3,2,0,Animalia,Mollusca,Pectinida,Pectinidae,Aequipecten,Aequipecten opercularis,Aequipecten opercularis,,2,suspension feeder (based on Aequipecten),,,,,benthos,,,,90,2.0 - 200 mm,": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",": ectoparasitic,",,,,,,,,,,,,,,,,,,,
770,Aegisthidae,2,2,0,Animalia,Arthropoda,Amphipoda,Leucothoidae,Leucothoe,Leucothoe incisa,Leucothoe incisa,,2,omnivore (based on Malacostraca),,,,,benthos > macrobenthos,,,,7,1,filter feeder,,,,,,,,,2.0 - 200 mm,,,,,,,,,,,,,,,,,,
771,Eusiridae,2,2,0,Animalia,Echinodermata,Camarodonta,Echinidae,Echinus,Echinus esculentus,Echinus esculentus,,2,grazer, deposit feeder (based on Echinoidea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Scinidae,2,#N/A,#N/A,Chromista,Ochrophyta,Anaulales,Anaulaceae,Eunotogramma,Eunotogramma dubium,Eunotogramma dubium,,1,photoautotroph (based on Centrales),,,Algae,,plankton > phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Grantiidae,2,1,0,Chromista,Ochrophyta,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros densus,Chaetoceros densus,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Robertinidae,2,2,0,Animalia,Annelida,Phyllodocida,Syllidae,Syllis,Syllis armillaris,Syllis armillaris,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Actiniscaceae,1,2,0,Animalia,Annelida,,Maldanidae,Maldane,Maldane sarsi,Maldane sarsi,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Ophidiidae,5,2,0,Animalia,Mollusca,Venerida,Mactridae,Spisula,,Spisula,,2,suspension feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Scrupariidae,2,2,0,Animalia,Mollusca,Venerida,Veneridae,Polititapes,Polititapes rhomboides,Polititapes rhomboides,,2,suspension feeder (based on Veneridae),,,,,benthos,,,,60,2.0 - 200 mm,": endoparasitic,",,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Lichinaceae,1,2,0,Animalia,Mollusca,,Patellidae,Patella,,Patella,,2,grazer (based on Patellogastropoda),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Enchelidiidae,2,2,0,Animalia,Arthropoda,Amphipoda,Aoridae,Microdeutopus,,Microdeutopus,,2,omnivore (based on Malacostraca),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Acanthochitonidae,2,2,0,Animalia,Arthropoda,Harpacticoida,Tachidiidae,Euterpina,Euterpina acutifrons,Euterpina acutifrons,水蚤,2,,,2,,,plankton > mesoplankton,plankton > zooplankton,,,0.65,0.7,parasitic > ectoparasitic,,,,,,,,,0.52,0.6,0.36,0.86,0.2 - 2.0 mm,0.15,0.16,0.17,0.19,0.21,0.26,0.32,0.37,0.38,0.42,0.48,0.5,0.54,0.56
781,Podolampadaceae,1,1,0,Chromista,Ochrophyta,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros didymus,Chaetoceros didymus,色藻界,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Protodrilidae,2,1,0,Plantae,,Gigartinales,Phyllophoraceae,Mastocarpus,Mastocarpus stellatus,Mastocarpus stellatus,,1,photoautotroph (based on Rhodophyceae),,,Algae > Macroalgae,Algae > Macroalgae,,,,,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Geryonidae,5,2,0,Animalia,Mollusca,Cardiida,Tellinidae,Asbjornsenia,Asbjornsenia pygmaea,Asbjornsenia pygmaea,,2,deposit feeder,,,,,benthos,,,,2.0 - 200 mm,,deposit feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Loxoconchidae,2,2,0,Chromista,Foraminifera,Rotaliida,Globigerinidae,Trilobatus,Trilobatus trilobus,Trilobatus trilobus,,2,omnivore (based on Foraminifera),,,,,plankton > zooplankton,plankton > mesoplankton,,,0.2 - 2.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Solmundaeginidae,3,3,0,Animalia,Arthropoda,Pantopoda,Phoxichilidiidae,Anoplodactylus,Anoplodactylus petiolatus,Anoplodactylus petiolatus,海蜘蛛,3,carnivore (based on Pycnogonida),,,,,benthos > meiobenthos,,,,1,1.5,parasitic,omnivore,,,,,,,,0.7,0.9,5,0.2 - 2.0 mm,,,,,,,,,,,,,,,
786,Lithodermataceae,1,2,0,Animalia,Annelida,,Polygordiidae,Polygordius,,Polygordius,,2,detritivore (based on Polychaeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Glandulinidae,2,2,0,Animalia,Chordata,Cypriniformes,Cyprinidae,Scardinius,Scardinius erythrophthalmus,Scardinius erythrophthalmus,,2,omnivore (based on Cypriniformes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Chaetodontidae,4,2,0,Animalia,Arthropoda,Cyclopoida,Oithonidae,Oithona,Oithona nana,Oithona nana,水蚤,2,,,,,,plankton > zooplankton,plankton > mesoplankton,,,0.47,0.49,,,,,,,,,,0.6,0.8,0.2 - 2.0 mm,0.15,0.19,0.2,0.23,0.24,0.25,0.27,0.28,0.29,0.3,0.31,0.34,0.36,0.4,0.44,0.48
789,Alariaceae,1,3,0,Animalia,Arthropoda,Decapoda,Polybiidae,Necora,Necora puber,Necora puber,十足目,3,carnivore (based on Decapoda),,3.26,,,benthos,plankton > zooplankton,benthos > macrobenthos,,40,65,": parasitic,",": parasitic,",": parasitic,",,,,,,,50,66,2.0 - 200 mm,,,,,,,,,,,,,,,,
